Fact,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",Banned or not
"Champaign County, Ohio","38,699","38,714",0.00%,"38,714","40,097",5.40%,22.00%,18.70%,50.00%,94.40%,2.20%,0.50%,0.50%,Z,2.40%,1.80%,92.90%,"2,547",1.20%,"16,905",74.80%,"$146,700","$1,183",$531,$779,51,"15,506",2.45,87.30%,1.10%,93.00%,86.20%,91.20%,16.70%,11.00%,8.00%,62.50%,58.40%,"29,395","86,000","31,076","309,930","$7,976",25.6,"$62,865","$30,090",10.60%,575,"9,581","408,405",-0.10%,"2,381",514,213,149,26,401,S,376,90.2,93.5,428.99,428.67,0
"Clark County, Ohio","135,633","136,001",-0.30%,"136,001","138,333",5.80%,22.50%,19.80%,51.10%,86.40%,9.10%,0.40%,0.70%,0.10%,3.30%,3.80%,83.30%,"10,606",1.80%,"61,040",68.10%,"$127,400","$1,111",$458,$755,199,"55,124",2.41,85.20%,3.20%,92.10%,87.80%,88.70%,18.90%,12.50%,8.10%,59.90%,54.80%,"207,893","709,661","400,044","1,411,399","$10,483",22.6,"$54,869","$28,679",16.00%,"2,167","38,457","1,500,960",-3.20%,"6,815","1,875","1,074",272,138,"1,377",179,"1,296",342.7,348,396.88,397.47,0
"Clermont County, Ohio","209,642","208,601",0.50%,"208,601","197,363",5.60%,22.50%,17.70%,50.40%,94.60%,1.90%,0.20%,1.40%,0.10%,1.70%,2.20%,92.70%,"12,422",2.20%,"87,402",73.20%,"$190,600","$1,443",$550,$912,"1,224","81,785",2.52,87.90%,3.10%,93.60%,89.40%,90.50%,29.50%,11.20%,8.50%,65.50%,59.90%,"334,148","639,975","265,811","3,014,605","$14,745",28,"$73,013","$38,260",9.50%,"3,614","51,928","2,297,661",-1.10%,"14,051","2,848","1,757",416,117,"2,293",180,"2,197",460.9,436.5,452.56,452.1,0
"Clinton County, Ohio","42,004","42,018",0.00%,"42,018","42,040",5.70%,22.70%,18.00%,50.40%,94.20%,2.20%,0.40%,0.60%,0.10%,2.50%,2.00%,92.70%,"3,087",2.40%,"17,944",69.20%,"$149,500","$1,193",$465,$774,88,"16,548",2.46,86.40%,2.60%,91.90%,86.00%,91.20%,20.10%,12.10%,8.50%,62.80%,59.80%,"63,338","196,168","460,411","480,706","$11,436",25.8,"$57,409","$29,651",12.00%,702,"16,444","845,042",8.70%,"2,579",611,311,S,S,426,S,418,102.8,102.9,408.73,408.68,0
"Columbiana County, Ohio","101,310","101,877",-0.60%,"101,877","107,841",5.00%,20.40%,21.40%,49.00%,95.00%,2.60%,0.30%,0.30%,Z,1.80%,2.10%,93.30%,"8,199",0.90%,"46,142",73.60%,"$107,300","$1,034",$392,$664,63,"41,313",2.39,88.90%,2.00%,88.50%,82.80%,89.50%,15.70%,12.10%,9.60%,57.90%,54.70%,"123,356","454,971","240,208","1,229,420","$11,913",25.1,"$51,664","$28,538",16.70%,"1,909","26,679","925,485",-0.80%,"5,999","1,524",891,S,55,"1,302",S,"1,218",191.5,202.7,531.92,531.89,0
"Coshocton County, Ohio","36,618","36,612",Z,"36,612","36,901",6.20%,24.10%,19.90%,50.20%,96.30%,1.20%,0.30%,0.40%,0.10%,1.60%,1.30%,95.30%,"2,160",0.60%,"16,314",73.00%,"$113,800","$1,000",$396,$645,5,"14,517",2.49,88.70%,9.10%,84.20%,76.20%,84.30%,17.10%,10.80%,11.00%,57.80%,53.60%,"29,724","151,259","24,540","341,045","$9,335",24.7,"$49,297","$24,901",13.90%,609,"8,121","319,800",-5.40%,"2,469",651,378,77,S,536,S,495,64.9,65.4,563.99,563.91,0
"Crawford County, Ohio","41,754","42,025",-0.60%,"42,025","43,784",5.50%,21.90%,21.30%,50.80%,96.40%,1.20%,0.30%,0.60%,0.10%,1.30%,1.90%,94.80%,"2,472",1.50%,"19,842",69.10%,"$98,600",$931,$399,$695,10,"18,028",2.3,87.10%,2.70%,90.60%,84.30%,90.00%,15.70%,12.30%,9.00%,60.10%,54.80%,"50,484","318,266","24,257","360,332","$8,634",24.1,"$48,449","$27,866",13.50%,767,"12,093","450,310",-2.80%,"2,208",717,420,105,S,578,S,520,104.6,109,401.79,401.79,1
"Cuyahoga County, Ohio","1,249,387","1,264,817",-1.20%,"1,264,817","1,280,122",5.40%,20.60%,19.00%,52.00%,63.20%,30.50%,0.30%,3.50%,Z,2.50%,6.60%,58.00%,"62,153",7.50%,"615,454",58.20%,"$146,800","$1,380",$580,$875,784,"551,267",2.24,85.80%,12.10%,90.80%,83.90%,90.70%,34.40%,10.90%,7.50%,63.40%,60.10%,"3,332,698","17,916,961","3,779,511","16,920,714","$13,560",24,"$55,109","$36,321",16.20%,"31,708","673,763","38,514,352",0.70%,"99,039","24,327","14,857","4,430","2,243","19,143","1,527","19,718","2,766.40","2,800.00",457.21,457.19,0
"Darke County, Ohio","51,597","51,881",-0.50%,"51,881","52,959",6.10%,24.00%,20.00%,50.00%,97.10%,0.70%,0.20%,0.50%,0.10%,1.40%,1.80%,95.50%,"2,808",0.50%,"22,645",71.90%,"$134,200","$1,118",$422,$682,63,"20,826",2.46,89.40%,1.50%,88.20%,82.80%,91.30%,16.70%,9.00%,9.40%,62.50%,56.80%,"44,500","185,852","168,080","516,575","$10,016",23,"$57,440","$29,914",10.40%,"1,136","15,710","667,993",-8.00%,"3,534",916,498,S,S,767,36,704,86.7,88.5,598.1,598.1,0
"Defiance County, Ohio","38,144","38,286",-0.40%,"38,286","39,037",5.50%,22.80%,19.50%,49.90%,95.00%,2.30%,0.50%,0.50%,0.10%,1.60%,10.80%,85.50%,"2,236",2.00%,"16,573",77.90%,"$131,400","$1,083",$460,$756,46,"15,075",2.51,89.10%,5.30%,91.10%,84.50%,92.10%,19.20%,9.30%,8.30%,65.40%,59.90%,"63,753","232,836","124,274","847,079","$22,199",20.8,"$65,779","$32,035",10.10%,796,"13,807","576,118",3.10%,"2,100",639,346,137,S,476,S,508,93.1,94.9,411.45,411.46,0
