Fact,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",Banned or not
"Highland County, Ohio","43,354","43,317",0.10%,"43,317","43,589",6.30%,23.80%,18.90%,50.40%,95.60%,1.60%,0.40%,0.50%,Z,1.90%,1.40%,94.60%,"2,830",0.80%,"18,977",71.60%,"$126,200","$1,092",$396,$704,71,"16,526",2.58,89.10%,3.20%,85.90%,77.40%,83.70%,14.10%,13.50%,10.30%,58.20%,53.70%,"44,465","147,828","21,586","436,168","$10,160",28.5,"$52,376","$24,980",13.90%,676,"8,371","334,403",-2.50%,"2,935",556,292,62,S,404,S,388,78.3,78.8,553.08,553.08,0
"Hocking County, Ohio","28,097","28,050",0.20%,"28,050","29,380",5.30%,21.70%,19.80%,50.00%,96.70%,0.80%,0.40%,0.50%,Z,1.50%,1.20%,95.80%,"1,676",0.50%,"12,994",78.30%,"$144,000","$1,180",$446,$701,12,"11,240",2.47,91.40%,1.90%,90.70%,83.70%,88.10%,14.80%,13.00%,8.70%,58.70%,53.40%,"49,749","95,710","8,210","237,832","$8,363",29.8,"$56,755","$27,714",16.50%,482,"5,340","158,449",1.70%,"1,875",349,232,27,S,277,42,233,66.6,69.7,421.35,421.32,0
"Holmes County, Ohio","44,271","44,223",0.10%,"44,223","42,366",8.40%,30.50%,14.10%,49.50%,98.40%,0.40%,0.10%,0.30%,0.10%,0.70%,1.00%,97.60%,"1,081",0.40%,"14,578",77.70%,"$231,200","$1,348",$455,$700,4,"13,200",3.28,92.20%,49.50%,68.70%,60.40%,56.60%,10.50%,4.50%,28.40%,65.00%,49.80%,"76,919","163,683","148,895","643,361","$14,652",21.9,"$69,454","$26,999",10.10%,"1,332","18,805","766,913",1.30%,"5,588","1,055",743,82,S,961,S,928,104.6,100.3,422.61,422.53,0
"Huron County, Ohio","58,367","58,565",-0.30%,"58,565","59,626",6.00%,23.80%,18.10%,50.10%,95.90%,1.50%,0.30%,0.40%,Z,1.80%,7.00%,89.60%,"3,285",1.20%,"25,507",72.00%,"$133,600","$1,110",$452,$750,142,"23,288",2.48,89.50%,3.80%,90.90%,83.40%,90.00%,15.00%,11.80%,8.50%,61.70%,56.60%,"64,022","293,111","165,622","687,048","$11,764",22.6,"$59,049","$28,145",11.20%,"1,081","18,620","831,402",2.30%,"3,140",960,500,S,52,758,S,667,119,121.3,492.24,491.5,0
"Jackson County, Ohio","32,511","32,653",-0.40%,"32,653","33,225",6.10%,23.90%,17.90%,50.50%,96.70%,0.70%,0.40%,0.40%,Z,1.80%,1.10%,95.70%,"2,198",0.60%,"14,512",75.00%,"$111,400","$1,106",$421,$685,51,"12,361",2.6,91.20%,2.40%,86.90%,79.10%,87.40%,15.10%,16.30%,8.70%,57.80%,53.30%,"40,449","132,187","29,168","377,901","$11,664",27.1,"$50,983","$25,843",17.70%,607,"8,478","296,472",0.20%,"1,622",410,S,S,S,295,S,308,77.7,79,420.31,420.3,0
"Jefferson County, Ohio","64,789","65,249",-0.70%,"65,249","69,709",5.10%,19.70%,22.20%,51.00%,91.20%,5.50%,0.20%,0.60%,Z,2.50%,1.80%,89.80%,"4,649",1.30%,"31,081",70.90%,"$102,800","$1,055",$429,$694,6,"26,776",2.37,89.80%,2.00%,85.00%,81.80%,92.70%,18.30%,12.60%,7.30%,55.20%,51.70%,"86,508","427,447","78,339","841,146","$12,668",23.3,"$49,211","$28,207",17.20%,"1,188","18,549","702,650",-0.60%,"3,077",962,509,S,S,784,S,770,159.9,170.7,408.12,408.33,0
"Knox County, Ohio","62,897","62,721",0.30%,"62,721","60,921",5.90%,22.90%,18.80%,50.50%,96.50%,1.00%,0.30%,0.60%,Z,1.50%,1.80%,95.00%,"4,132",1.30%,"25,920",72.60%,"$168,700","$1,267",$467,$826,351,"22,908",2.57,88.10%,5.20%,91.10%,85.30%,91.70%,22.70%,9.60%,9.00%,60.30%,55.70%,"75,785","299,190","30,939","622,977","$10,155",27.5,"$64,439","$29,383",12.50%,"1,095","18,357","733,504",Z,"4,984",859,502,107,S,717,S,645,119.4,115.9,525.5,525.49,1
"Lake County, Ohio","232,023","232,603",-0.20%,"232,603","230,041",4.80%,19.50%,21.10%,50.90%,90.90%,5.30%,0.20%,1.60%,Z,2.00%,5.00%,86.60%,"14,005",5.60%,"105,937",74.50%,"$166,200","$1,349",$560,$952,775,"98,217",2.34,89.10%,8.20%,93.10%,89.60%,93.00%,28.90%,8.70%,7.90%,65.40%,61.40%,"496,973","1,078,395","147,313","3,755,526","$16,320",23.8,"$70,168","$37,586",7.00%,"5,498","86,083","4,245,635",-0.50%,"16,689","4,412","2,850",608,226,"3,657",270,"3,528","1,014.50","1,011.20",229.27,227.49,0
"Lawrence County, Ohio","57,445","58,240",-1.40%,"58,240","62,450",5.30%,21.70%,19.30%,51.00%,95.20%,2.20%,0.30%,0.50%,Z,1.80%,1.00%,94.40%,"3,967",0.90%,"26,519",72.10%,"$112,200","$1,090",$435,$759,16,"22,608",2.56,90.60%,1.10%,86.80%,79.80%,88.90%,16.90%,18.20%,8.00%,52.50%,49.00%,"64,284","139,082","112,168","583,140","$9,691",22.7,"$48,947","$25,754",17.20%,791,"10,304","361,227",-0.40%,"2,683",564,271,S,S,468,S,413,128.5,137.7,453.39,453.37,0
"Licking County, Ohio","180,401","178,519",1.10%,"178,519","166,492",5.80%,23.00%,17.10%,50.50%,89.30%,4.40%,0.40%,3.30%,0.10%,2.60%,2.30%,87.40%,"12,598",3.30%,"73,008",73.40%,"$195,100","$1,472",$527,$894,363,"66,342",2.62,87.30%,4.50%,93.70%,89.80%,92.80%,28.60%,11.40%,7.50%,62.80%,58.90%,"240,471","742,626","236,861","2,497,946","$14,373",27,"$72,771","$35,931",11.00%,"3,022","56,800","2,444,812",2.20%,"12,588","2,539","1,392",S,S,"2,087",S,"1,985",261.6,243.9,682.43,682.5,0
"Logan County, Ohio","46,035","46,150",-0.20%,"46,150","45,858",5.70%,22.90%,19.10%,50.20%,94.30%,2.00%,0.30%,0.90%,0.10%,2.40%,2.10%,92.50%,"2,873",1.30%,"23,789",75.80%,"$148,600","$1,167",$489,$740,126,"18,928",2.41,88.60%,2.70%,92.60%,87.80%,92.80%,17.90%,9.70%,7.60%,61.30%,57.30%,"101,835","193,611","140,348","504,218","$11,151",22.1,"$64,196","$32,868",10.10%,808,"16,703","789,601",-1.20%,"2,909",830,512,S,44,651,88,607,100.7,100,458.51,458.43,1
"Lorain County, Ohio","315,595","312,964",0.80%,"312,964","301,356",5.40%,21.80%,19.20%,50.40%,85.80%,9.00%,0.40%,1.50%,0.10%,3.30%,10.80%,77.10%,"18,562",2.80%,"135,686",72.50%,"$164,600","$1,368",$542,$821,"1,127","123,500",2.45,89.40%,6.70%,92.90%,82.50%,90.90%,26.00%,9.70%,7.50%,60.40%,57.70%,"444,363","1,744,523","230,279","3,875,576","$12,604",24.8,"$62,390","$33,799",12.80%,"5,483","85,777","3,665,272",Z,"19,307","4,390","2,629",840,257,"3,621",194,"3,624",638,613.6,490.54,491.1,0
"Lucas County, Ohio","429,191","431,279",-0.50%,"431,279","441,815",6.10%,23.10%,17.10%,51.40%,73.60%,20.50%,0.40%,1.80%,0.10%,3.60%,7.80%,67.40%,"20,910",3.80%,"200,856",61.20%,"$127,900","$1,261",$499,$803,460,"179,358",2.35,85.70%,6.40%,92.00%,86.20%,90.20%,27.50%,11.70%,7.60%,63.20%,59.50%,"986,578","4,694,114","1,091,865","6,470,470","$15,002",20.6,"$53,176","$31,632",17.40%,"9,297","188,890","9,467,561",-3.10%,"25,675","7,005","4,406",951,573,"5,351",381,"5,449","1,269.70","1,296.20",339.66,340.86,0
"Madison County, Ohio","44,386","43,824",1.30%,"43,824","43,435",5.10%,20.30%,16.10%,45.40%,89.70%,6.50%,0.40%,1.50%,Z,1.80%,2.70%,87.40%,"2,666",1.50%,"16,359",73.80%,"$173,400","$1,372",$508,$870,89,"15,181",2.55,85.10%,4.20%,91.70%,87.40%,88.40%,20.00%,10.90%,7.40%,56.70%,60.10%,"51,887","98,695","155,384","1,745,971","$39,612",24.9,"$72,811","$31,493",13.40%,687,"15,459","687,596",6.60%,"2,875",621,380,62,S,517,57,464,94.1,93.2,465.81,465.88,0
"Mahoning County, Ohio","226,762","228,614",-0.80%,"228,614","238,823",5.30%,20.10%,21.80%,50.50%,80.10%,16.00%,0.30%,0.90%,0.10%,2.60%,7.00%,74.90%,"13,771",2.20%,"107,973",69.80%,"$114,600","$1,120",$438,$706,194,"97,293",2.29,88.40%,6.20%,89.70%,84.50%,91.40%,24.90%,11.70%,8.50%,60.20%,57.20%,"450,590","2,114,285","413,254","3,772,503","$16,442",22.3,"$50,750","$30,421",19.30%,"5,295","84,892","3,327,818",-0.40%,"16,376","4,324","2,624",691,212,"3,545",279,"3,417",555.6,580.2,411.49,411.62,0
"Marion County, Ohio","65,291","65,359",-0.10%,"65,359","66,501",5.60%,21.30%,18.50%,46.70%,89.90%,6.70%,0.30%,0.60%,0.10%,2.30%,3.10%,87.50%,"4,542",1.60%,"27,357",67.30%,"$114,800","$1,074",$426,$782,49,"24,251",2.47,85.30%,4.60%,91.20%,85.20%,89.90%,13.10%,14.00%,7.60%,53.10%,52.50%,"103,682","466,004","152,910","812,004","$12,471",23.4,"$51,144","$26,823",15.80%,"1,094","22,275","918,875",0.30%,"3,003",898,446,96,S,639,S,555,161.9,164.7,403.81,403.76,0
"Medina County, Ohio","183,092","182,470",0.30%,"182,470","172,332",4.90%,21.70%,19.10%,50.20%,95.20%,1.60%,0.20%,1.40%,Z,1.50%,2.60%,93.00%,"9,712",3.00%,"75,697",79.80%,"$219,900","$1,540",$569,$958,463,"71,360",2.52,91.00%,4.30%,95.50%,90.00%,95.10%,35.00%,7.20%,6.20%,67.50%,62.20%,"276,209","676,573","234,849","3,119,464","$17,492",27.2,"$82,894","$41,100",6.10%,"3,978","54,701","2,461,886",-0.20%,"14,123","3,618","2,166",564,123,"3,079",257,"2,893",432.9,409,421.46,421.36,1
"Meigs County, Ohio","22,049","22,210",-0.70%,"22,210","23,770",4.90%,21.00%,21.00%,50.10%,97.10%,1.00%,0.30%,0.30%,Z,1.30%,0.90%,96.40%,"1,313",0.30%,"10,664",77.50%,"$100,300","$1,010",$382,$639,6,"8,719",2.54,90.40%,1.20%,83.30%,71.40%,85.10%,12.40%,16.10%,9.30%,50.20%,45.90%,"20,240","46,499",D,"186,316","$8,072",32.3,"$44,113","$24,812",21.10%,313,"2,571","73,632",-4.70%,"1,105",S,S,S,S,S,S,247,51.6,55.3,430.1,430.1,0
"Mercer County, Ohio","42,309","42,528",-0.50%,"42,528","40,814",7.60%,26.30%,19.00%,49.30%,96.40%,0.50%,0.30%,0.60%,0.90%,1.30%,1.90%,94.90%,"2,087",1.60%,"18,013",79.60%,"$169,500","$1,197",$473,$679,85,"15,923",2.61,89.80%,2.10%,92.10%,89.10%,92.90%,20.40%,6.10%,7.50%,69.30%,65.60%,"46,102","160,363","227,135","548,311","$13,410",19.1,"$68,692","$32,528",7.30%,"1,027","16,352","663,713",-3.30%,"2,849",964,521,134,S,833,S,835,92,88.3,462.45,462.45,0
"Miami County, Ohio","109,264","108,774",0.50%,"108,774","102,506",5.70%,23.10%,19.20%,50.40%,92.90%,2.70%,0.20%,1.80%,Z,2.30%,2.00%,91.20%,"6,858",3.10%,"46,998",73.00%,"$165,600","$1,238",$478,$832,307,"43,279",2.47,88.10%,3.90%,93.00%,88.80%,93.20%,24.30%,7.70%,6.90%,64.80%,57.90%,"173,215","387,410","159,043","1,417,132","$13,469",21.6,"$66,284","$34,178",8.20%,"2,112","37,222","1,593,764",2.20%,"7,183","1,757",S,251,S,S,S,S,267.6,252.1,406.52,406.58,0
"Monroe County, Ohio","13,329","13,385",-0.40%,"13,385","14,642",4.90%,20.50%,23.70%,49.20%,97.30%,0.70%,0.20%,0.20%,Z,1.60%,0.70%,96.70%,885,0.60%,"7,132",78.60%,"$115,500",$980,$366,$584,1,"5,565",2.4,93.60%,1.70%,83.50%,74.60%,89.80%,12.60%,12.80%,10.10%,50.60%,43.00%,D,"13,248","58,596","75,307","$5,400",33.7,"$50,503","$30,569",14.20%,263,"1,820","60,937",-1.00%,982,245,161,S,S,205,S,193,29.4,32.1,455.72,455.72,0
"Montgomery County, Ohio","535,840","537,309",-0.30%,"537,309","535,153",5.90%,22.10%,18.30%,51.60%,72.40%,21.70%,0.30%,2.40%,0.10%,3.10%,3.60%,69.50%,"37,254",5.00%,"252,095",62.00%,"$133,400","$1,255",$515,$849,"1,047","226,199",2.29,83.20%,6.20%,92.00%,87.30%,91.00%,29.20%,11.10%,8.30%,61.90%,57.80%,"1,176,468","6,622,095","1,171,506","8,441,166","$15,868",22.1,"$56,543","$32,692",15.20%,"10,960","236,680","11,710,997",0.90%,"34,012","8,159","4,901","1,405",735,"6,286",S,"6,456","1,164.60","1,159.50",461.35,461.55,0
"Morgan County, Ohio","13,682","13,802",-0.90%,"13,802","15,054",4.90%,20.60%,22.30%,49.80%,92.30%,3.00%,0.40%,0.20%,Z,4.00%,1.00%,91.70%,786,0.40%,"7,286",77.10%,"$103,500",$993,$361,$641,55,"5,629",2.45,91.50%,1.20%,83.50%,74.30%,84.70%,10.90%,15.40%,9.40%,50.50%,49.90%,"9,631","28,249",D,"59,400","$4,056",35.5,"$44,848","$23,497",16.40%,158,"2,206","77,860",-2.10%,795,146,78,S,S,107,S,101,33.1,36.2,416.43,416.42,0
"Morrow County, Ohio","35,151","34,950",0.60%,"34,950","34,827",5.50%,22.10%,18.50%,49.60%,96.80%,0.90%,0.30%,0.50%,Z,1.60%,1.80%,95.30%,"2,214",1.10%,"14,584",80.60%,"$163,300","$1,307",$461,$851,150,"13,048",2.65,91.60%,6.50%,91.70%,84.60%,89.00%,15.00%,11.40%,9.60%,63.90%,59.90%,"20,165",D,"7,654","174,823","$5,005",30.6,"$63,411","$30,352",11.30%,408,"4,020","131,238",4.00%,"2,675",363,S,65,S,S,S,S,86.1,85.8,406.13,406.08,0
"Muskingum County, Ohio","86,408","86,410",0.00%,"86,410","86,074",5.90%,22.70%,18.40%,51.10%,91.90%,3.90%,0.30%,0.60%,Z,3.20%,1.30%,91.00%,"5,328",0.50%,"38,337",70.30%,"$132,800","$1,140",$411,$719,21,"33,970",2.48,87.90%,2.50%,88.30%,84.20%,89.80%,18.20%,10.40%,8.00%,59.70%,55.20%,"169,642","820,282","145,324","1,330,216","$15,450",25,"$52,224","$28,877",15.80%,"1,667","27,960","1,201,764",-1.70%,"5,150","1,233",724,142,S,950,60,917,130,129.5,664.55,664.58,0
"Noble County, Ohio","14,176","14,115",0.40%,"14,115","14,645",5.00%,18.80%,28.70%,40.30%,94.80%,3.30%,0.40%,0.30%,Z,1.20%,0.80%,94.20%,"1,060",0.60%,"5,785",79.30%,"$113,500","$1,044",$368,$652,25,"4,608",2.58,88.30%,4.00%,80.00%,73.20%,85.00%,12.10%,11.60%,9.30%,37.40%,45.60%,D,"15,185",D,"81,132","$5,632",25.6,"$46,144","$26,411",16.30%,219,"1,903","55,417",-0.20%,768,183,114,S,S,145,S,118,35.5,36.8,398.01,398.01,0
"Ottawa County, Ohio","40,104","40,364",-0.60%,"40,364","41,428",4.10%,18.00%,26.40%,50.00%,96.60%,1.10%,0.30%,0.40%,Z,1.60%,5.40%,91.80%,"3,183",1.20%,"28,744",81.00%,"$160,500","$1,284",$467,$774,172,"17,930",2.21,91.30%,2.80%,92.20%,83.10%,92.40%,26.00%,8.20%,8.40%,57.80%,54.30%,"139,278","145,517","73,912","442,663","$10,889",25,"$64,463","$40,728",8.40%,"1,014","9,878","451,384",-3.20%,"3,031",890,455,S,S,775,72,693,158.5,162.5,254.7,254.92,0
"Paulding County, Ohio","18,871","18,806",0.30%,"18,806","19,614",6.10%,24.10%,19.20%,50.00%,96.40%,1.20%,0.50%,0.30%,Z,1.50%,5.20%,92.10%,"1,167",1.40%,"8,521",80.20%,"$107,700","$1,030",$422,$704,29,"7,480",2.51,89.90%,2.50%,88.50%,77.00%,89.70%,16.20%,13.10%,8.90%,58.00%,52.10%,D,"36,573","30,477","136,775","$7,269",23.8,"$59,987","$30,831",10.30%,298,"4,045","141,660",4.40%,"1,049",234,S,S,S,S,S,S,45.2,47.1,416.44,416.44,0
"Perry County, Ohio","35,460","35,408",0.10%,"35,408","36,058",5.80%,23.60%,17.60%,49.70%,97.10%,0.60%,0.40%,0.20%,0.10%,1.60%,1.00%,96.20%,"2,578",0.50%,"15,006",76.70%,"$136,300","$1,148",$439,$654,47,"13,071",2.69,90.80%,2.60%,89.10%,82.00%,88.80%,13.40%,15.00%,8.70%,55.50%,52.70%,"18,927",D,"17,616","191,893","$5,334",32.1,"$58,616","$26,299",13.90%,437,"4,442","150,303",-10.50%,"2,049",269,129,S,S,216,S,208,86.8,88.4,407.93,407.97,0
"Pickaway County, Ohio","59,333","58,539",1.40%,"58,539","55,698",5.30%,21.50%,16.10%,47.10%,93.30%,4.00%,0.30%,0.60%,Z,1.80%,1.70%,92.00%,"3,723",0.80%,"22,540",72.60%,"$185,400","$1,437",$525,$851,262,"20,706",2.61,85.00%,1.60%,91.80%,84.90%,87.20%,19.60%,11.20%,6.90%,55.60%,55.60%,"69,531","193,075","63,431","464,691","$8,044",28.7,"$63,629","$30,342",10.20%,783,"10,411","425,955",-3.40%,"3,445",830,431,174,S,661,S,668,116.8,111.1,501.23,501.32,0
"Pike County, Ohio","27,089","27,088",Z,"27,088","28,709",6.30%,23.90%,18.40%,50.20%,95.30%,1.30%,0.80%,0.30%,0.10%,2.20%,1.30%,94.40%,"2,036",0.70%,"12,076",66.90%,"$118,400","$1,125",$414,$760,29,"10,478",2.56,90.90%,1.70%,87.80%,75.00%,85.10%,14.70%,18.50%,8.60%,49.80%,46.70%,"27,457","146,043",D,"282,398","$10,055",28.5,"$44,961","$26,568",19.20%,402,"7,184","352,191",-4.00%,"1,446",348,239,S,S,272,S,255,61.5,65.2,440.28,440.28,0
"Portage County, Ohio","162,382","161,791",0.40%,"161,791","161,419",4.40%,18.30%,17.70%,50.80%,90.30%,5.00%,0.20%,2.10%,0.10%,2.30%,2.20%,88.50%,"8,573",3.00%,"71,037",70.40%,"$168,500","$1,382",$522,$921,427,"63,372",2.43,86.50%,4.20%,92.70%,85.30%,92.40%,30.10%,8.80%,8.30%,65.50%,61.30%,"268,582","508,024","355,322","2,382,688","$14,668",25.2,"$64,163","$34,290",12.40%,"2,958","47,923","2,049,113",-0.10%,"10,744","2,628","1,758",327,122,"2,160",218,"1,970",331.9,331.2,487.41,487.38,0
"Preble County, Ohio","40,867","40,999",-0.30%,"40,999","42,270",5.30%,22.30%,19.90%,50.00%,96.70%,0.80%,0.40%,0.70%,Z,1.40%,1.10%,95.80%,"2,703",0.90%,"18,120",78.00%,"$141,600","$1,149",$443,$754,48,"16,648",2.44,91.00%,1.80%,90.20%,83.70%,91.40%,18.40%,10.50%,7.40%,61.50%,55.40%,"45,947","89,012",D,"387,095","$9,414",26.3,"$60,527","$31,040",11.00%,664,"9,668","444,669",1.20%,"2,471",609,S,96,S,524,S,499,96.6,99.7,424.23,424.12,0
"Putnam County, Ohio","34,318","34,451",-0.40%,"34,451","34,499",6.40%,25.80%,18.40%,49.60%,97.80%,0.70%,0.40%,0.30%,Z,0.80%,6.80%,91.60%,"1,454",1.30%,"13,869",85.50%,"$158,300","$1,227",$445,$754,47,"13,158",2.59,93.40%,4.10%,92.30%,85.30%,94.60%,24.80%,5.50%,7.90%,67.10%,62.40%,"29,880","63,104","58,200","289,845","$8,558",22.4,"$73,122","$33,676",7.10%,729,"9,933","398,620",-3.10%,"2,147",522,312,56,S,S,S,S,71.4,71.5,482.54,482.52,0
"Richland County, Ohio","125,195","124,936",0.20%,"124,936","124,475",5.60%,21.90%,20.00%,48.90%,86.90%,9.50%,0.20%,0.90%,0.10%,2.50%,2.20%,85.10%,"8,429",1.60%,"54,634",67.20%,"$123,900","$1,100",$426,$694,115,"49,505",2.37,85.80%,4.30%,88.90%,82.50%,88.40%,17.80%,12.10%,8.90%,56.80%,55.10%,"214,497","836,660","187,275","1,641,877","$13,626",22.4,"$52,605","$27,534",13.40%,"2,606","39,890","1,479,026",-1.00%,"7,134","2,023","1,083",323,S,"1,503",229,"1,386",252.3,251.3,495.23,495.27,0
"Ross County, Ohio","76,891","77,093",-0.30%,"77,093","78,064",5.30%,21.10%,17.60%,47.40%,90.50%,5.80%,0.30%,0.50%,Z,2.70%,1.40%,89.50%,"5,240",0.90%,"32,065",70.80%,"$134,300","$1,227",$440,$784,15,"29,455",2.43,86.50%,1.70%,89.70%,83.60%,88.80%,16.90%,14.00%,8.10%,53.50%,53.60%,"137,304","733,274","132,169","1,128,854","$14,604",26.8,"$54,004","$27,086",18.90%,"1,233","22,077","953,471",-2.30%,"3,890",933,519,S,S,730,S,667,111.9,113.3,689.17,689.19,0
"Sandusky County, Ohio","58,715","58,896",-0.30%,"58,896","60,944",5.40%,22.00%,19.80%,50.10%,92.70%,3.60%,0.40%,0.50%,Z,2.80%,10.70%,83.20%,"3,550",1.70%,"26,496",72.90%,"$124,700","$1,101",$445,$719,52,"23,797",2.43,90.00%,4.20%,90.20%,83.20%,92.60%,18.10%,11.70%,8.70%,61.30%,55.90%,"95,195","270,962","112,013","683,910","$11,573",19.4,"$56,414","$29,904",13.10%,"1,273","22,041","942,599",-3.40%,"3,095","1,105",598,192,42,855,56,824,144.3,149.2,408.25,408.45,0
"Scioto County, Ohio","73,346","74,008",-0.90%,"74,008","79,499",5.50%,21.80%,18.80%,50.40%,94.10%,2.80%,0.60%,0.40%,Z,2.10%,1.60%,92.80%,"4,573",0.70%,"33,087",68.30%,"$107,600","$1,130",$414,$669,4,"28,152",2.52,87.20%,1.40%,85.80%,80.50%,86.00%,16.40%,18.60%,7.90%,46.50%,45.10%,"117,733","765,068","47,998","930,903","$12,246",27.1,"$43,266","$23,958",23.90%,"1,240","19,183","721,708",1.80%,"3,670",965,538,150,57,737,60,704,121.3,130.3,610.15,610.21,0
"Shelby County, Ohio","47,977","48,230",-0.50%,"48,230","49,423",6.40%,24.70%,17.40%,49.50%,93.70%,2.40%,0.20%,1.20%,0.10%,2.40%,1.60%,92.40%,"2,824",1.60%,"20,116",71.40%,"$154,500","$1,227",$482,$787,75,"18,429",2.6,88.80%,2.00%,91.70%,87.10%,89.60%,19.10%,8.70%,7.30%,67.80%,63.30%,"74,845","210,672","256,587","490,553","$10,067",18.7,"$66,536","$31,861",10.70%,964,"24,765","1,287,376",-4.30%,"2,746",885,505,S,S,698,37,668,118.3,121.2,407.69,407.68,0
"Stark County, Ohio","373,834","374,853",-0.30%,"374,853","375,586",5.50%,21.50%,20.10%,51.10%,87.50%,8.10%,0.30%,1.00%,Z,3.00%,2.40%,85.60%,"23,509",2.10%,"167,323",68.00%,"$146,100","$1,178",$449,$784,952,"154,426",2.37,87.70%,3.20%,91.70%,84.50%,92.30%,23.60%,9.70%,7.60%,62.00%,56.90%,"745,822","2,769,783","329,788","5,377,131","$14,450",21.6,"$58,170","$31,765",12.80%,"8,005","143,048","5,849,718",-2.90%,"24,956","6,195","3,594","1,089",324,"5,094",377,"4,941",651.6,652.9,575.27,575.27,0
"Trumbull County, Ohio","201,335","201,977",-0.30%,"201,977","210,312",5.20%,20.60%,22.10%,50.90%,88.00%,8.80%,0.20%,0.60%,Z,2.30%,2.10%,86.40%,"14,454",1.50%,"94,373",71.40%,"$109,300","$1,046",$430,$707,120,"84,989",2.33,91.70%,4.80%,87.20%,79.70%,89.20%,19.30%,12.30%,9.20%,54.60%,50.90%,"300,291","1,329,612","476,035","2,584,704","$12,896",23.6,"$50,258","$28,123",15.50%,"3,817","55,664","2,097,513",-6.40%,"13,201","3,303","2,037",564,169,"2,721",242,"2,609",326.8,340.1,618.1,618.3,0
"Tuscarawas County, Ohio","92,500","93,263",-0.80%,"93,263","92,582",6.20%,22.90%,20.00%,50.20%,96.20%,1.00%,0.60%,0.40%,0.30%,1.50%,3.60%,93.60%,"5,457",1.50%,"40,845",69.90%,"$144,700","$1,167",$439,$796,64,"37,661",2.44,86.10%,8.20%,88.60%,80.40%,88.40%,18.40%,10.80%,11.10%,61.90%,54.80%,"135,590","416,388","177,984","1,194,721","$12,933",23.5,"$57,545","$29,276",12.40%,"2,062","30,562","1,240,618",-0.50%,"6,245","1,882","1,159",300,S,"1,652",S,"1,532",164.4,163.1,567.39,567.64,0
"Vinton County, Ohio","12,696","12,800",-0.80%,"12,800","13,435",5.30%,21.30%,18.60%,49.70%,97.00%,0.60%,0.40%,0.40%,Z,1.60%,1.10%,96.10%,634,0.80%,"5,933",76.00%,"$98,500","$1,028",$431,$646,2,"5,052",2.53,91.50%,2.60%,78.80%,69.40%,80.20%,13.10%,16.10%,9.30%,54.60%,51.30%,D,"14,731","19,864","30,349","$2,320",35.3,"$46,653","$25,263",19.30%,147,"1,641","50,807",-3.00%,609,139,S,S,S,105,S,95,31,32.6,412.36,412.36,0
