,Ohio Counties,Real GDP (2018),Real GDP (2019),Real GDP (2020),Real GDP (2021),Real GDP Rank In State (2021),Percent change (2019),Percent change (2020),Percent change (2021,Percent change Rank In State (2021),Banned or not
62,Muskingum,"3,411,002","3,506,749","3,449,484","3,546,611",31,2.8,-1.6,2.8,76,0.0
63,Noble,"636,981","652,841","664,903","603,045",84,2.5,1.8,-9.3,85,0.0
64,Ottawa,"1,861,845","1,898,029","1,817,880","1,923,161",56,1.9,-4.2,5.8,46,0.0
65,Paulding,"547,372","535,414","553,783","574,006",85,-2.2,3.4,3.7,71,0.0
66,Perry,"702,327","696,271","650,155","653,603",81,-0.9,-6.6,0.5,80,0.0
67,Pickaway,"1,557,348","1,646,608","1,707,371","1,815,678",59,5.7,3.7,6.3,34,0.0
68,Pike,"1,046,811","1,031,141","975,908","1,020,253",75,-1.5,-5.4,4.5,64,0.0
69,Portage,"5,842,402","5,858,401","5,598,443","5,845,922",22,0.3,-4.4,4.4,66,0.0
70,Preble,"1,074,290","1,074,723","1,064,728","1,170,287",72,0,-0.9,9.9,3,0.0
71,Putnam,"1,166,849","1,148,625","1,186,154","1,282,975",69,-1.6,3.3,8.2,13,0.0
72,Richland,"4,284,741","4,253,558","4,115,230","4,355,007",25,-0.7,-3.3,5.8,45,0.0
73,Ross,"2,514,547","2,589,891","2,555,276","2,710,860",41,3,-1.3,6.1,40,0.0
74,Sandusky,"2,795,215","2,720,870","2,613,829","2,944,895",38,-2.7,-3.9,12.7,1,0.0
75,Scioto,"2,644,422","2,830,211","2,641,363","2,833,905",40,7,-6.7,7.3,22,0.0
76,Seneca,"1,717,805","1,813,977","1,818,057","1,956,402",52,5.6,0.2,7.6,16,0.0
77,Shelby,"2,920,038","2,942,214","2,900,959","3,145,565",36,0.8,-1.4,8.4,10,0.0
78,Stark,"15,499,037","15,566,191","14,594,798","15,476,101",8,0.4,-6.2,6.0,42,0.0
79,Summit,"27,390,625","27,986,010","26,583,456","28,196,709",4,2.2,-5.0,6.1,41,0.0
80,Trumbull,"6,546,547","6,616,010","6,322,002","6,623,141",20,1.1,-4.4,4.8,60,0.0
81,Tuscarawas,"3,481,683","3,509,807","3,399,756","3,542,982",32,0.8,-3.1,4.2,69,0.0
82,Union,"4,049,554","4,064,411","3,987,703","4,275,930",26,0.4,-1.9,7.2,24,0.0
83,Van Wert,"1,301,729","1,212,303","1,121,601","1,182,257",71,-6.9,-7.5,5.4,49,0.0
84,Vinton,"271,553","281,782","251,239","269,962",88,3.8,-10.8,7.5,19,0.0
85,Warren,"10,698,303","11,563,248","11,184,149","12,207,915",10,8.1,-3.3,9.2,6,1.0
86,Washington,"3,107,136","3,269,479","3,146,595","3,224,161",34,5.2,-3.8,2.5,77,0.0
87,Wayne,"5,728,498","6,008,910","5,978,653","6,317,101",21,4.9,-0.5,5.7,47,1.0
88,Williams,"1,597,822","1,687,734","1,617,271","1,695,544",60,5.6,-4.2,4.8,58,0.0
89,Wood,"6,558,266","6,855,022","6,544,209","7,023,185",18,4.5,-4.5,7.3,20,0.0
90,Wyandot,"950,167","957,106","952,109","1,016,514",76,0.7,-0.5,6.8,28,0.0
