,Fact,Population EstimatesJuly 1 2021(),Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,White alonenot Hispanic or Latino,Veterans2017-2021,Foreign born persons2017-2021,Banned or not
32,Hardin County Ohio,30621,1867.8809999999999,7195.935,4960.602,15310.5,29334.917999999998,336.8310000000001,91.863,275.589,30.621000000000002,551.178,673.6620000000001,28814.360999999997,1707,643.041,0.0
33,Harrison County Ohio,14477,723.85,3040.17,3199.417,7252.977000000001,13796.580999999998,304.017,43.431,43.431,,289.54,188.20100000000002,13651.810999999998,974,101.339,0.0
34,Henry County Ohio,27538,1597.204,6388.816,5342.371999999999,13796.538,26656.784,220.304,137.69,165.22799999999998,,357.994,2175.502,24674.048,2045,385.532,0.0
35,Highland County Ohio,43354,2731.302,10318.252,8193.905999999999,21850.416,41446.424,693.6640000000001,173.41600000000003,216.77,,823.7259999999999,606.956,41012.884,2830,346.83200000000005,0.0
36,Hocking County Ohio,28097,1489.141,6097.049,5563.206,14048.5,27169.799,224.776,112.388,140.485,,421.455,337.164,26916.926,1676,140.485,0.0
37,Holmes County Ohio,44271,3718.764,13502.655,6242.210999999999,21914.145,43562.664000000004,177.084,44.271,132.813,44.271,309.897,442.71,43208.496,1081,177.084,0.0
38,Huron County Ohio,58367,3502.02,13891.346000000001,10564.427000000001,29241.867000000002,55973.95300000001,875.505,175.101,233.46800000000002,,1050.606,4085.69,52296.831999999995,3285,700.404,0.0
39,Jackson County Ohio,32511,1983.1709999999998,7770.128999999999,5819.468999999999,16418.055,31438.137000000002,227.57699999999997,130.044,130.044,,585.198,357.62100000000004,31113.027000000002,2198,195.06599999999997,0.0
40,Jefferson County Ohio,64789,3304.2389999999996,12763.433,14383.158000000001,33042.39,59087.568,3563.395,129.578,388.73400000000004,,1619.725,1166.202,58180.522000000004,4649,842.257,0.0
41,Knox County Ohio,62897,3710.9230000000007,14403.412999999999,11824.636,31762.985,60695.605,628.97,188.69099999999997,377.38199999999995,,943.455,1132.146,59752.15,4132,817.6610000000001,1.0
42,Lake County Ohio,232023,11137.104,45244.485,48956.85300000001,118099.707,210908.90700000004,12297.219,464.04600000000005,3712.3680000000004,,4640.46,11601.15,200931.91799999998,14005,12993.287999999999,0.0
43,Lawrence County Ohio,57445,3044.585,12465.565,11086.885,29296.95,54687.64,1263.7900000000002,172.335,287.225,,1034.01,574.45,54228.08,3967,517.005,0.0
44,Licking County Ohio,180401,10463.258,41492.23,30848.571,91102.505,161098.093,7937.644,721.604,5953.232999999999,180.401,4690.426,4149.223,157670.47400000002,12598,5953.232999999999,0.0
45,Logan County Ohio,46035,2623.995,10542.015,8792.685000000001,23109.57,43411.005,920.7,138.105,414.315,46.035,1104.84,966.735,42582.375,2873,598.455,1.0
46,Lorain County Ohio,315595,17042.13,68799.71,60594.24,159059.88,270780.51,28403.55,1262.38,4733.925,315.595,10414.635,34084.26,243323.745,18562,8836.66,0.0
47,Lucas County Ohio,429191,26180.650999999998,99143.12100000001,73391.66100000001,220604.174,315884.576,87984.155,1716.7640000000001,7725.438,429.19100000000003,15450.876,33476.898,289274.734,20910,16309.257999999998,0.0
48,Madison County Ohio,44386,2263.6859999999997,9010.358,7146.146000000001,20151.244,39814.242,2885.09,177.544,665.79,,798.948,1198.422,38793.364,2666,665.79,0.0
49,Mahoning County Ohio,226762,12018.385999999999,45579.162000000004,49434.11600000001,114514.81,181636.362,36281.92,680.286,2040.8580000000002,226.762,5895.812000000001,15873.34,169844.738,13771,4988.764,0.0
50,Marion County Ohio,65291,3656.296,13906.983,12078.835,30490.897,58696.609000000004,4374.497,195.873,391.746,65.291,1501.693,2024.021,57129.625,4542,1044.656,0.0
51,Medina County Ohio,183092,8971.508,39730.964,34970.572,91912.18400000001,174303.58400000003,2929.472,366.184,2563.288,,2746.38,4760.392,170275.56,9712,5492.76,1.0
52,Meigs County Ohio,22049,1080.401,4630.29,4630.29,11046.549,21409.578999999998,220.49,66.14699999999999,66.14699999999999,,286.637,198.44100000000003,21255.236,1313,66.14699999999999,0.0
