County Name,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
Noble County Ohio,14176,708.8,2665.09,4068.51,5712.93,13438.85,467.81,56.7,42.53,,170.11,113.41,13353.79,1060,85.06,5785,79.3,113500,1044,368,652,25.0,4608,2.58,12517.41,567.04,11340.8,10376.83,12049.6,1715.3,1644.42,1318.37,5301.82,6464.26,5632,25.6,46144,26411,2310.69,219,1903,55417,35.5,398.01,0.0
Ottawa County Ohio,40104,1644.26,7218.72,10587.46,20052.0,38740.46,441.14,120.31,160.42,,641.66,2165.62,36815.47,3183,481.25,28744,81.0,160500,1284,467,774,172.0,17930,2.21,36614.95,1122.91,36975.89,33326.42,37056.1,10427.04,3288.53,3368.74,23180.11,21776.47,10889,25.0,64463,40728,3368.74,1014,9878,451384,158.5,254.7,0.0
Paulding County Ohio,18871,1151.13,4547.91,3623.23,9435.5,18191.64,226.45,94.36,56.61,,283.06,981.29,17380.19,1167,264.19,8521,80.2,107700,1030,422,704,29.0,7480,2.51,16965.03,471.78,16700.84,14530.67,16927.29,3057.1,2472.1,1679.52,10945.18,9831.79,7269,23.8,59987,30831,1943.71,298,4045,141660,45.2,416.44,0.0
Perry County Ohio,35460,2056.68,8368.56,6240.96,17623.62,34431.66,212.76,141.84,70.92,35.46,567.36,354.6,34112.52,2578,177.3,15006,76.7,136300,1148,439,654,47.0,13071,2.69,32197.68,921.96,31594.86,29077.2,31488.48,4751.64,5319.0,3085.02,19680.3,18687.42,5334,32.1,58616,26299,4928.94,437,4442,150303,86.8,407.93,0.0
Pickaway County Ohio,59333,3144.65,12756.6,9552.61,27945.84,55357.69,2373.32,178.0,356.0,,1067.99,1008.66,54586.36,3723,474.66,22540,72.6,185400,1437,525,851,262.0,20706,2.61,50433.05,949.33,54467.69,50373.72,51738.38,11629.27,6645.3,4093.98,32989.15,32989.15,8044,28.7,63629,30342,6051.97,783,10411,425955,116.8,501.23,0.0
Pike County Ohio,27089,1706.61,6474.27,4984.38,13598.68,25815.82,352.16,216.71,81.27,27.09,595.96,352.16,25572.02,2036,189.62,12076,66.9,118400,1125,414,760,29.0,10478,2.56,24623.9,460.51,23784.14,20316.75,23052.74,3982.08,5011.46,2329.65,13490.32,12650.56,10055,28.5,44961,26568,5201.09,402,7184,352191,61.5,440.28,0.0
Portage County Ohio,162382,7144.81,29715.91,28741.61,82490.06,146630.95,8119.1,324.76,3410.02,162.38,3734.79,3572.4,143708.07,8573,4871.46,71037,70.4,168500,1382,522,921,427.0,63372,2.43,140460.43,6820.04,150528.11,138511.85,150040.97,48876.98,14289.62,13477.71,106360.21,99540.17,14668,25.2,64163,34290,20135.37,2958,47923,2049113,331.9,487.41,0.0
Preble County Ohio,40867,2165.95,9113.34,8132.53,20433.5,39518.39,326.94,163.47,286.07,,572.14,449.54,39150.59,2703,367.8,18120,78.0,141600,1149,443,754,48.0,16648,2.44,37188.97,735.61,36862.03,34205.68,37352.44,7519.53,4291.04,3024.16,25133.2,22640.32,9414,26.3,60527,31040,4495.37,664,9668,444669,96.6,424.23,0.0
Putnam County Ohio,34318,2196.35,8854.04,6314.51,17021.73,33563.0,240.23,137.27,102.95,,274.54,2333.62,31435.29,1454,446.13,13869,85.5,158300,1227,445,754,47.0,13158,2.59,32053.01,1407.04,31675.51,29273.25,32464.83,8510.86,1887.49,2711.12,23027.38,21414.43,8558,22.4,73122,33676,2436.58,729,9933,398620,71.4,482.54,0.0
Richland County Ohio,125195,7010.92,27417.7,25039.0,61220.36,108794.46,11893.52,250.39,1126.76,125.2,3129.88,2754.29,106540.94,8429,2003.12,54634,67.2,123900,1100,426,694,115.0,49505,2.37,107417.31,5383.38,111298.36,103285.88,110672.38,22284.71,15148.6,11142.36,71110.76,68982.45,13626,22.4,52605,27534,16776.13,2606,39890,1479026,252.3,495.23,0.0
Ross County Ohio,76891,4075.22,16224.0,13532.82,36446.33,69586.36,4459.68,230.67,384.46,,2076.06,1076.47,68817.45,5240,692.02,32065,70.8,134300,1227,440,784,15.0,29455,2.43,66510.72,1307.15,68971.23,64280.88,68279.21,12994.58,10764.74,6228.17,41136.68,41213.58,14604,26.8,54004,27086,14532.4,1233,22077,953471,111.9,689.17,0.0
Sandusky County Ohio,58715,3170.61,12917.3,11625.57,29416.22,54428.8,2113.74,234.86,293.58,,1644.02,6282.5,48850.88,3550,998.16,26496,72.9,124700,1101,445,719,52.0,23797,2.43,52843.5,2466.03,52960.93,48850.88,54370.09,10627.42,6869.66,5108.2,35992.3,32821.68,11573,19.4,56414,29904,7691.66,1273,22041,942599,144.3,408.25,0.0
Scioto County Ohio,73346,4034.03,15989.43,13789.05,36966.38,69018.59,2053.69,440.08,293.38,,1540.27,1173.54,68065.09,4573,513.42,33087,68.3,107600,1130,414,669,4.0,28152,2.52,63957.71,1026.84,62930.87,59043.53,63077.56,12028.74,13642.36,5794.33,34105.89,33079.05,12246,27.1,43266,23958,17529.69,1240,19183,721708,121.3,610.15,0.0
Shelby County Ohio,47977,3070.53,11850.32,8348.0,23748.62,44954.45,1151.45,95.95,575.72,47.98,1151.45,767.63,44330.75,2824,767.63,20116,71.4,154500,1227,482,787,75.0,18429,2.6,42603.58,959.54,43994.91,41787.97,42987.39,9163.61,4174.0,3502.32,32528.41,30369.44,10067,18.7,66536,31861,5133.54,964,24765,1287376,118.3,407.69,0.0
Stark County Ohio,373834,20560.87,80374.31,75140.63,191029.17,327104.75,30280.55,1121.5,3738.34,,11215.02,8972.02,320001.9,23509,7850.51,167323,68.0,146100,1178,449,784,952.0,154426,2.37,327852.42,11962.69,342805.78,315889.73,345048.78,88224.82,36261.9,28411.38,231777.08,212711.55,14450,21.6,58170,31765,47850.75,8005,143048,5849718,651.6,575.27,0.0
Trumbull County Ohio,201335,10469.42,41475.01,44495.04,102479.52,177174.8,17717.48,402.67,1208.01,,4630.7,4228.04,173953.44,14454,3020.02,94373,71.4,109300,1046,430,707,120.0,84989,2.33,184624.2,9664.08,175564.12,160464.0,179590.82,38857.66,24764.2,18522.82,109928.91,102479.52,12896,23.6,50258,28123,31206.92,3817,55664,2097513,326.8,618.1,0.0
Tuscarawas County Ohio,92500,5735.0,21182.5,18500.0,46435.0,88985.0,925.0,555.0,370.0,277.5,1387.5,3330.0,86580.0,5457,1387.5,40845,69.9,144700,1167,439,796,64.0,37661,2.44,79642.5,7585.0,81955.0,74370.0,81770.0,17020.0,9990.0,10267.5,57257.5,50690.0,12933,23.5,57545,29276,11470.0,2062,30562,1240618,164.4,567.39,0.0
Vinton County Ohio,12696,672.89,2704.25,2361.46,6309.91,12315.12,76.18,50.78,50.78,,203.14,139.66,12200.86,634,101.57,5933,76.0,98500,1028,431,646,2.0,5052,2.53,11616.84,330.1,10004.45,8811.02,10182.19,1663.18,2044.06,1180.73,6932.02,6513.05,2320,35.3,46653,25263,2450.33,147,1641,50807,31.0,412.36,0.0
Warren County Ohio,246553,13560.42,58926.17,37476.06,121550.63,214254.56,9615.57,493.11,17012.16,246.55,4931.06,7889.7,207351.07,12515,19231.13,95160,78.6,250300,1723,642,1156,1406.0,86981,2.67,215487.32,22929.43,238416.75,231020.16,233239.14,108729.87,16765.6,12820.76,160506.0,151630.1,12796,25.7,95709,45255,14546.63,4456,83544,4528870,603.7,401.43,0.0
Washington County Ohio,59423,2911.73,11765.75,13013.64,30008.62,56867.81,772.5,178.27,415.96,,1129.04,713.08,56273.58,4903,831.92,27969,74.1,146600,1128,414,725,5.0,24435,2.39,51995.12,1485.58,52113.97,47478.98,54312.62,11765.75,7784.41,4634.99,34524.76,31375.34,14565,23.2,54167,31375,8081.53,1351,22846,1062679,94.6,631.97,0.0
Wayne County Ohio,116710,7352.73,28243.82,21824.77,58238.29,111224.63,1867.36,233.42,1283.81,116.71,2100.78,2567.62,109123.85,5834,2567.62,46830,74.7,164300,1243,474,770,189.0,43964,2.56,101887.83,15055.59,101304.28,95818.91,100487.31,27310.14,10854.03,14121.91,72943.75,64307.21,11768,20.2,64594,30362,11204.16,2482,43423,1792709,210.7,554.79,0.0
Williams County Ohio,36716,2092.81,8114.24,7343.2,18321.28,35394.22,477.31,146.86,220.3,,440.59,1909.23,33705.29,1996,587.46,16571,76.9,111500,1044,412,718,31.0,15261,2.36,32750.67,1138.2,32713.96,30914.87,33668.57,5360.54,4148.91,3047.43,22800.64,21735.87,10145,17.9,55030,28831,3304.44,780,15739,623325,88.2,420.66,0.0
Seneca County Ohio,54906,3019.83,11914.6,10377.23,27288.28,51446.92,1482.46,164.72,439.25,54.91,1372.65,3129.64,48756.53,3361,878.5,23973,72.6,113000,1049,433,740,48.0,21862,2.38,47823.13,1921.71,49580.12,46011.23,51062.58,9828.17,5655.32,4447.39,34480.97,32504.35,10226,20.7,56043,28992,6588.72,1025,16462,607851,99.9,551.03,1.0
Wood County Ohio,132472,6623.6,26891.82,21327.99,66765.89,122801.54,3841.69,397.42,2649.44,,2649.44,8080.79,115648.06,6213,4371.58,57308,64.2,177000,1437,553,845,547.0,53010,2.37,106375.02,6093.71,126113.34,118827.38,125848.4,48087.34,11657.54,9405.51,90213.43,84517.14,14333,20.7,66337,36047,14439.45,2701,57707,2719738,214.3,617.16,0.0
Union County Ohio,64971,3963.23,15852.92,8446.23,33460.06,58214.02,1754.22,129.94,3703.35,,1169.48,1624.28,56784.65,3081,3508.43,24130,81.2,242400,1696,626,1050,1253.0,21654,2.71,55095.41,4612.94,62177.25,60228.12,61332.62,24559.04,4418.03,3573.4,43725.48,38527.8,13966,25.9,96634,44442,3573.4,1083,25265,1591247,145.4,431.76,1.0
Wyandot County Ohio,21708,1128.82,4840.88,4428.43,10897.42,21121.88,108.54,65.12,151.96,,260.5,716.36,20514.06,1341,303.91,9847,72.5,133600,1139,420,682,70.0,9036,2.4,20123.32,607.82,19884.53,18386.68,20318.69,4211.35,1801.76,1758.35,13979.95,12851.14,12356,22.9,61626,30596,1714.93,494,9495,425207,53.8,406.88,0.0
