County Name,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
Clermont County Ohio,209642,11739.95,47169.45,37106.63,105659.57,198321.33,3983.2,419.28,2934.99,209.64,3563.91,4612.12,194338.13,12422,4612.12,87402,73.2,190600,1443,550,912,1224.0,81785,2.52,184275.32,6498.9,196224.91,187419.95,189726.01,61844.39,23479.9,17819.57,137315.51,125575.56,14745,28.0,73013,38260,19915.99,3614,51928,2297661,460.9,452.56,0.0
Clinton County Ohio,42004,2394.23,9534.91,7560.72,21170.02,39567.77,924.09,168.02,252.02,42.0,1050.1,840.08,38937.71,3087,1008.1,17944,69.2,149500,1193,465,774,88.0,16548,2.46,36291.46,1092.1,38601.68,36123.44,38307.65,8442.8,5082.48,3570.34,26378.51,25118.39,11436,25.8,57409,29651,5040.48,702,16444,845042,102.8,408.73,0.0
Columbiana County Ohio,101310,5065.5,20667.24,21680.34,49641.9,96244.5,2634.06,303.93,303.93,,1823.58,2127.51,94522.23,8199,911.79,46142,73.6,107300,1034,392,664,63.0,41313,2.39,90064.59,2026.2,89659.35,83884.68,90672.45,15905.67,12258.51,9725.76,58658.49,55416.57,11913,25.1,51664,28538,16918.77,1909,26679,925485,191.5,531.92,0.0
Coshocton County Ohio,36618,2270.32,8824.94,7286.98,18382.24,35263.13,439.42,109.85,146.47,36.62,585.89,476.03,34896.95,2160,219.71,16314,73.0,113800,1000,396,645,5.0,14517,2.49,32480.17,3332.24,30832.36,27902.92,30868.97,6261.68,3954.74,4027.98,21165.2,19627.25,9335,24.7,49297,24901,5089.9,609,8121,319800,64.9,563.99,0.0
Crawford County Ohio,41754,2296.47,9144.13,8893.6,21211.03,40250.86,501.05,125.26,250.52,41.75,542.8,793.33,39582.79,2472,626.31,19842,69.1,98600,931,399,695,10.0,18028,2.3,36367.73,1127.36,37829.12,35198.62,37578.6,6555.38,5135.74,3757.86,25094.15,22881.19,8634,24.1,48449,27866,5636.79,767,12093,450310,104.6,401.79,1.0
Cuyahoga County Ohio,1249387,67466.9,257373.72,237383.53,649681.24,789612.58,381063.04,3748.16,43728.54,,31234.68,82459.54,724644.46,62153,93704.02,615454,58.2,146800,1380,580,875,784.0,551267,2.24,1071974.05,151175.83,1134443.4,1048235.69,1133194.01,429789.13,136183.18,93704.02,792111.36,750881.59,13560,24.0,55109,36321,202400.69,31708,673763,38514352,2766.4,457.21,0.0
Darke County Ohio,51597,3147.42,12383.28,10319.4,25798.5,50100.69,361.18,103.19,257.98,51.6,722.36,928.75,49275.14,2808,257.98,22645,71.9,134200,1118,422,682,63.0,20826,2.46,46127.72,773.96,45508.55,42722.32,47108.06,8616.7,4643.73,4850.12,32248.12,29307.1,10016,23.0,57440,29914,5366.09,1136,15710,667993,86.7,598.1,0.0
Defiance County Ohio,38144,2097.92,8696.83,7438.08,19033.86,36236.8,877.31,190.72,190.72,38.14,610.3,4119.55,32613.12,2236,762.88,16573,77.9,131400,1083,460,756,46.0,15075,2.51,33986.3,2021.63,34749.18,32231.68,35130.62,7323.65,3547.39,3165.95,24946.18,22848.26,22199,20.8,65779,32035,3852.54,796,13807,576118,93.1,411.45,0.0
Delaware County Ohio,220740,12582.18,55847.22,32228.04,110370.0,186966.78,9712.56,441.48,18762.9,220.74,4856.28,6622.2,181448.28,9675,17659.2,84176,79.1,336600,2205,833,1202,2359.0,76549,2.73,195134.16,20970.3,216104.46,210806.7,214559.28,126042.54,12140.7,11037.0,155400.96,141935.82,20392,26.0,116284,52397,9050.34,4893,89828,4740171,483.2,443.15,0.0
Erie County Ohio,74852,3892.3,15045.25,17141.11,38099.67,64597.28,6736.68,224.56,598.82,74.85,2619.82,3592.9,61678.05,5281,1272.48,38320,69.7,152800,1195,497,814,289.0,31984,2.32,66917.69,2544.97,68414.73,61079.23,68788.99,18862.7,8233.72,5763.6,46408.24,44387.24,16636,20.8,60149,35100,9431.35,1780,32736,1233289,300.9,251.29,0.0
