County Name,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total of population age 16 years+","In civilian labor force, female of population age 16 years+","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+",Median household income (in 2021 dollars),Per capita income in past 12 months (in 2021 dollars),Persons in poverty,"Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
Lawrence County Ohio,10454.99,4595.6,30158.62,28148.05,9691,22.7,48947,25754,9880.54,791,10304,361227,128.5,453.39,0.0
Licking County Ohio,20565.71,13530.08,113291.83,106256.19,14373,27.0,72771,35931,19844.11,3022,56800,2444812,261.6,682.43,0.0
Logan County Ohio,4465.39,3498.66,28219.46,26378.06,11151,22.1,64196,32868,4649.54,808,16703,789601,100.7,458.51,1.0
Lorain County Ohio,30612.72,23669.62,190619.38,182098.32,12604,24.8,62390,33799,40396.16,5483,85777,3665272,638.0,490.54,0.0
Lucas County Ohio,50215.35,32618.52,271248.71,255368.64,15002,20.6,53176,31632,74679.23,9297,188890,9467561,1269.7,339.66,0.0
Madison County Ohio,4838.07,3284.56,25166.86,26675.99,39612,24.9,72811,31493,5947.72,687,15459,687596,94.1,465.81,0.0
Mahoning County Ohio,26531.15,19274.77,136510.72,129707.86,16442,22.3,50750,30421,43765.07,5295,84892,3327818,555.6,411.49,0.0
Marion County Ohio,9140.74,4962.12,34669.52,34277.78,12471,23.4,51144,26823,10315.98,1094,22275,918875,161.9,403.81,0.0
Medina County Ohio,13182.62,11351.7,123587.1,113883.22,17492,27.2,82894,41100,11168.61,3978,54701,2461886,432.9,421.46,1.0
Meigs County Ohio,3549.89,2050.56,11068.6,10120.49,8072,32.3,44113,24812,4652.34,313,2571,73632,51.6,430.1,0.0
Mercer County Ohio,2580.85,3173.18,29320.14,27754.7,13410,19.1,68692,32528,3088.56,1027,16352,663713,92.0,462.45,0.0
Miami County Ohio,8413.33,7539.22,70803.07,63263.86,13469,21.6,66284,34178,8959.65,2112,37222,1593764,267.6,406.52,0.0
Monroe County Ohio,1706.11,1346.23,6744.47,5731.47,5400,33.7,50503,30569,1892.72,263,1820,60937,29.4,455.72,0.0
Montgomery County Ohio,59478.24,44474.72,331684.96,309715.52,15868,22.1,56543,32692,81447.68,10960,236680,11710997,1164.6,461.35,0.0
Morgan County Ohio,2107.03,1286.11,6909.41,6827.32,4056,35.5,44848,23497,2243.85,158,2206,77860,33.1,416.43,0.0
Morrow County Ohio,4007.21,3374.5,22461.49,21055.45,5005,30.6,63411,30352,3972.06,408,4020,131238,86.1,406.13,0.0
Muskingum County Ohio,8986.43,6912.64,51585.58,47697.22,15450,25.0,52224,28877,13652.46,1667,27960,1201764,130.0,664.55,0.0
Noble County Ohio,1644.42,1318.37,5301.82,6464.26,5632,25.6,46144,26411,2310.69,219,1903,55417,35.5,398.01,0.0
Ottawa County Ohio,3288.53,3368.74,23180.11,21776.47,10889,25.0,64463,40728,3368.74,1014,9878,451384,158.5,254.7,0.0
Paulding County Ohio,2472.1,1679.52,10945.18,9831.79,7269,23.8,59987,30831,1943.71,298,4045,141660,45.2,416.44,0.0
Perry County Ohio,5319.0,3085.02,19680.3,18687.42,5334,32.1,58616,26299,4928.94,437,4442,150303,86.8,407.93,0.0
Pickaway County Ohio,6645.3,4093.98,32989.15,32989.15,8044,28.7,63629,30342,6051.97,783,10411,425955,116.8,501.23,0.0
Pike County Ohio,5011.46,2329.65,13490.32,12650.56,10055,28.5,44961,26568,5201.09,402,7184,352191,61.5,440.28,0.0
Portage County Ohio,14289.62,13477.71,106360.21,99540.17,14668,25.2,64163,34290,20135.37,2958,47923,2049113,331.9,487.41,0.0
Preble County Ohio,4291.04,3024.16,25133.2,22640.32,9414,26.3,60527,31040,4495.37,664,9668,444669,96.6,424.23,0.0
Putnam County Ohio,1887.49,2711.12,23027.38,21414.43,8558,22.4,73122,33676,2436.58,729,9933,398620,71.4,482.54,0.0
Richland County Ohio,15148.6,11142.36,71110.76,68982.45,13626,22.4,52605,27534,16776.13,2606,39890,1479026,252.3,495.23,0.0
Ross County Ohio,10764.74,6228.17,41136.68,41213.58,14604,26.8,54004,27086,14532.4,1233,22077,953471,111.9,689.17,0.0
Sandusky County Ohio,6869.66,5108.2,35992.3,32821.68,11573,19.4,56414,29904,7691.66,1273,22041,942599,144.3,408.25,0.0
Scioto County Ohio,13642.36,5794.33,34105.89,33079.05,12246,27.1,43266,23958,17529.69,1240,19183,721708,121.3,610.15,0.0
Shelby County Ohio,4174.0,3502.32,32528.41,30369.44,10067,18.7,66536,31861,5133.54,964,24765,1287376,118.3,407.69,0.0
Stark County Ohio,36261.9,28411.38,231777.08,212711.55,14450,21.6,58170,31765,47850.75,8005,143048,5849718,651.6,575.27,0.0
Trumbull County Ohio,24764.2,18522.82,109928.91,102479.52,12896,23.6,50258,28123,31206.92,3817,55664,2097513,326.8,618.1,0.0
Tuscarawas County Ohio,9990.0,10267.5,57257.5,50690.0,12933,23.5,57545,29276,11470.0,2062,30562,1240618,164.4,567.39,0.0
Vinton County Ohio,2044.06,1180.73,6932.02,6513.05,2320,35.3,46653,25263,2450.33,147,1641,50807,31.0,412.36,0.0
Warren County Ohio,16765.6,12820.76,160506.0,151630.1,12796,25.7,95709,45255,14546.63,4456,83544,4528870,603.7,401.43,0.0
Washington County Ohio,7784.41,4634.99,34524.76,31375.34,14565,23.2,54167,31375,8081.53,1351,22846,1062679,94.6,631.97,0.0
Wayne County Ohio,10854.03,14121.91,72943.75,64307.21,11768,20.2,64594,30362,11204.16,2482,43423,1792709,210.7,554.79,0.0
Williams County Ohio,4148.91,3047.43,22800.64,21735.87,10145,17.9,55030,28831,3304.44,780,15739,623325,88.2,420.66,0.0
Seneca County Ohio,5655.32,4447.39,34480.97,32504.35,10226,20.7,56043,28992,6588.72,1025,16462,607851,99.9,551.03,1.0
Wood County Ohio,11657.54,9405.51,90213.43,84517.14,14333,20.7,66337,36047,14439.45,2701,57707,2719738,214.3,617.16,0.0
Union County Ohio,4418.03,3573.4,43725.48,38527.8,13966,25.9,96634,44442,3573.4,1083,25265,1591247,145.4,431.76,1.0
Wyandot County Ohio,1801.76,1758.35,13979.95,12851.14,12356,22.9,61626,30596,1714.93,494,9495,425207,53.8,406.88,0.0
