,County Name,"Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago of persons age 1 year+, 2017-2021","Language other than English spoken at home of persons age 5 years+, 2017-2021","Households with a computer, 2017-2021","Households with a broadband Internet subscription, 2017-2021",Banned or not
63,"Perry County, Ohio",15006,76.7,136300,1148,439,654,47.0,13071,2.69,32197.68,921.96,31594.86,29077.2,0.0
64,"Pickaway County, Ohio",22540,72.6,185400,1437,525,851,262.0,20706,2.61,50433.05,949.33,54467.69,50373.72,0.0
65,"Pike County, Ohio",12076,66.9,118400,1125,414,760,29.0,10478,2.56,24623.9,460.51,23784.14,20316.75,0.0
66,"Portage County, Ohio",71037,70.4,168500,1382,522,921,427.0,63372,2.43,140460.43,6820.04,150528.11,138511.85,0.0
67,"Preble County, Ohio",18120,78.0,141600,1149,443,754,48.0,16648,2.44,37188.97,735.61,36862.03,34205.68,0.0
68,"Putnam County, Ohio",13869,85.5,158300,1227,445,754,47.0,13158,2.59,32053.01,1407.04,31675.51,29273.25,0.0
69,"Richland County, Ohio",54634,67.2,123900,1100,426,694,115.0,49505,2.37,107417.31,5383.38,111298.36,103285.88,0.0
70,"Ross County, Ohio",32065,70.8,134300,1227,440,784,15.0,29455,2.43,66510.72,1307.15,68971.23,64280.88,0.0
71,"Sandusky County, Ohio",26496,72.9,124700,1101,445,719,52.0,23797,2.43,52843.5,2466.03,52960.93,48850.88,0.0
72,"Scioto County, Ohio",33087,68.3,107600,1130,414,669,4.0,28152,2.52,63957.71,1026.84,62930.87,59043.53,0.0
73,"Shelby County, Ohio",20116,71.4,154500,1227,482,787,75.0,18429,2.6,42603.58,959.54,43994.91,41787.97,0.0
74,"Stark County, Ohio",167323,68.0,146100,1178,449,784,952.0,154426,2.37,327852.42,11962.69,342805.78,315889.73,0.0
75,"Trumbull County, Ohio",94373,71.4,109300,1046,430,707,120.0,84989,2.33,184624.2,9664.08,175564.12,160464.0,0.0
76,"Tuscarawas County, Ohio",40845,69.9,144700,1167,439,796,64.0,37661,2.44,79642.5,7585.0,81955.0,74370.0,0.0
77,"Vinton County, Ohio",5933,76.0,98500,1028,431,646,2.0,5052,2.53,11616.84,330.1,10004.45,8811.02,0.0
78,"Warren County, Ohio",95160,78.6,250300,1723,642,1156,1406.0,86981,2.67,215487.32,22929.43,238416.75,231020.16,0.0
79,"Washington County, Ohio",27969,74.1,146600,1128,414,725,5.0,24435,2.39,51995.12,1485.58,52113.97,47478.98,0.0
80,"Wayne County, Ohio",46830,74.7,164300,1243,474,770,189.0,43964,2.56,101887.83,15055.59,101304.28,95818.91,0.0
81,"Williams County, Ohio",16571,76.9,111500,1044,412,718,31.0,15261,2.36,32750.67,1138.2,32713.96,30914.87,0.0
82,"Seneca County, Ohio",23973,72.6,113000,1049,433,740,48.0,21862,2.38,47823.13,1921.71,49580.12,46011.23,1.0
83,"Wood County, Ohio",57308,64.2,177000,1437,553,845,547.0,53010,2.37,106375.02,6093.71,126113.34,118827.38,0.0
84,"Union County, Ohio",24130,81.2,242400,1696,626,1050,1253.0,21654,2.71,55095.41,4612.94,62177.25,60228.12,1.0
85,"Wyandot County, Ohio",9847,72.5,133600,1139,420,682,70.0,9036,2.4,20123.32,607.82,19884.53,18386.68,0.0
86,"Summit County, Ohio",246735,66.8,159800,1299,525,882,788.0,228283,2.33,472041.77,37634.31,497310.52,473117.04,0.0
87,"Van Wert County, Ohio",12559,78.0,112300,957,405,721,37.0,11553,2.47,25887.53,689.57,26088.66,23818.83,0.0
