,Bachelor's degree or higher of persons age 25 years+,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total of population age 16 years+","In civilian labor force, female of population age 16 years+","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+",Median household income (in 2021 dollars),Per capita income in past 12 months (in 2021 dollars),Persons in poverty,"Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not,Fact
36,4158.356000000001,3652.61,2444.439,16492.939000000002,15003.798,8363,29.8,56755,27714,4636.005,482,5340,158449,66.6,421.35,0.0,Hocking County Ohio
37,4648.455,1992.195,12572.964,28776.15,22046.958,14652,21.9,69454,26999,4471.371,1332,18805,766913,104.6,422.61,0.0,Holmes County Ohio
38,8755.05,6887.3060000000005,4961.195,36012.439000000006,33035.722,11764,22.6,59049,28145,6537.103999999999,1081,18620,831402,119.0,492.24,0.0,Huron County Ohio
39,4909.161,5299.293000000001,2828.4569999999994,18791.357999999997,17328.362999999998,11664,27.1,50983,25843,5754.446999999999,607,8478,296472,77.7,420.31,0.0,Jackson County Ohio
40,11856.386999999999,8163.414000000001,4729.597,35763.528000000006,33495.913,12668,23.3,49211,28207,11143.708,1188,18549,702650,159.9,408.12,0.0,Jefferson County Ohio
41,14277.618999999999,6038.111999999999,5660.73,37926.890999999996,35033.629,10155,27.5,64439,29383,7862.125,1095,18357,733504,119.4,525.5,1.0,Knox County Ohio
42,67054.647,20186.001,18329.817000000003,151743.04200000002,142462.122,16320,23.8,70168,37586,16241.61,5498,86083,4245635,1014.5,229.27,0.0,Lake County Ohio
43,9708.204999999998,10454.99,4595.6,30158.625,28148.05,9691,22.7,48947,25754,9880.54,791,10304,361227,128.5,453.39,0.0,Lawrence County Ohio
44,51594.68600000001,20565.714,13530.075,113291.828,106256.189,14373,27.0,72771,35931,19844.11,3022,56800,2444812,261.6,682.43,0.0,Licking County Ohio
45,8240.265,4465.3949999999995,3498.66,28219.455,26378.055,11151,22.1,64196,32868,4649.535,808,16703,789601,100.7,458.51,1.0,Logan County Ohio
46,82054.7,30612.715,23669.625,190619.38,182098.315,12604,24.8,62390,33799,40396.16,5483,85777,3665272,638.0,490.54,0.0,Lorain County Ohio
47,118027.525,50215.346999999994,32618.515999999996,271248.71200000006,255368.645,15002,20.6,53176,31632,74679.234,9297,188890,9467561,1269.7,339.66,0.0,Lucas County Ohio
48,8877.2,4838.0740000000005,3284.5640000000003,25166.862,26675.986,39612,24.9,72811,31493,5947.724,687,15459,687596,94.1,465.81,0.0,Madison County Ohio
49,56463.738,26531.154,19274.77,136510.72400000002,129707.864,16442,22.3,50750,30421,43765.066000000006,5295,84892,3327818,555.6,411.49,0.0,Mahoning County Ohio
50,8553.121,9140.74,4962.116,34669.521,34277.775,12471,23.4,51144,26823,10315.978000000001,1094,22275,918875,161.9,403.81,0.0,Marion County Ohio
