,Fact,"Population Estimates, July 1 2021, (V2021)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Population per square mile, 2020","Land area in square miles, 2020",Banned or not
11,Clark County Ohio,135633,7866.714,30517.425,26855.334,69308.463,117186.91200000001,12342.603000000001,542.532,949.4309999999999,135.633,4475.888999999999,5154.054,112982.289,10606,2441.394,61040,68.1,127400,1111,458,755,199.0,55124,2.41,115559.31599999999,4340.256,124917.99299999999,119085.774,120306.47099999999,25634.637,16954.125,10986.273000000001,81244.167,74326.88399999999,10483,22.6,54869,28679,21701.28,2167,38457,1500960,342.7,396.88,0.0
12,Clermont County Ohio,209642,11739.952,47169.45,37106.634,105659.56799999998,198321.332,3983.198,419.284,2934.988,209.642,3563.9139999999998,4612.124,194338.13400000002,12422,4612.124,87402,73.2,190600,1443,550,912,1224.0,81785,2.52,184275.318,6498.902000000001,196224.91199999998,187419.948,189726.01,61844.39,23479.904,17819.57,137315.51,125575.55799999999,14745,28.0,73013,38260,19915.99,3614,51928,2297661,460.9,452.56,0.0
13,Clinton County Ohio,42004,2394.228,9534.908,7560.72,21170.016,39567.768000000004,924.0880000000001,168.01600000000002,252.02399999999997,42.004000000000005,1050.1,840.08,38937.708000000006,3087,1008.0959999999999,17944,69.2,149500,1193,465,774,88.0,16548,2.46,36291.456,1092.104,38601.676,36123.44,38307.648,8442.804,5082.4839999999995,3570.34,26378.512,25118.391999999996,11436,25.8,57409,29651,5040.48,702,16444,845042,102.8,408.73,0.0
14,Columbiana County Ohio,101310,5065.5,20667.239999999998,21680.34,49641.9,96244.5,2634.06,303.93,303.93,,1823.58,2127.51,94522.23,8199,911.79,46142,73.6,107300,1034,392,664,63.0,41313,2.39,90064.59,2026.2,89659.35,83884.68,90672.45,15905.67,12258.51,9725.76,58658.49,55416.57,11913,25.1,51664,28538,16918.77,1909,26679,925485,191.5,531.92,0.0
15,Coshocton County Ohio,36618,2270.3160000000003,8824.938,7286.982,18382.236,35263.134,439.416,109.854,146.472,36.618,585.888,476.034,34896.954,2160,219.708,16314,73.0,113800,1000,396,645,5.0,14517,2.49,32480.166,3332.238,30832.356,27902.916,30868.974,6261.678000000001,3954.744,4027.98,21165.203999999998,19627.248,9335,24.7,49297,24901,5089.902,609,8121,319800,64.9,563.99,0.0
16,Crawford County Ohio,41754,2296.47,9144.126,8893.602,21211.031999999996,40250.856,501.04799999999994,125.26199999999999,250.52399999999997,41.754000000000005,542.802,793.3259999999999,39582.791999999994,2472,626.31,19842,69.1,98600,931,399,695,10.0,18028,2.3,36367.734,1127.358,37829.123999999996,35198.621999999996,37578.6,6555.378,5135.742,3757.86,25094.154,22881.191999999995,8634,24.1,48449,27866,5636.79,767,12093,450310,104.6,401.79,1.0
17,Cuyahoga County Ohio,1249387,67466.898,257373.72200000004,237383.53,649681.24,789612.584,381063.035,3748.1609999999996,43728.545,,31234.675,82459.54199999999,724644.46,62153,93704.025,615454,58.2,146800,1380,580,875,784.0,551267,2.24,1071974.0459999999,151175.827,1134443.396,1048235.6930000001,1133194.009,429789.12799999997,136183.18300000002,93704.025,792111.358,750881.587,13560,24.0,55109,36321,202400.694,31708,673763,38514352,2766.4,457.21,0.0
18,Darke County Ohio,51597,3147.4169999999995,12383.28,10319.4,25798.5,50100.68699999999,361.1789999999999,103.19400000000002,257.985,51.59700000000001,722.3579999999998,928.7460000000001,49275.135,2808,257.985,22645,71.9,134200,1118,422,682,63.0,20826,2.46,46127.71800000001,773.955,45508.554000000004,42722.316,47108.060999999994,8616.698999999999,4643.73,4850.118,32248.125,29307.095999999998,10016,23.0,57440,29914,5366.088000000001,1136,15710,667993,86.7,598.1,0.0
19,Defiance County Ohio,38144,2097.92,8696.832,7438.08,19033.856,36236.8,877.312,190.72,190.72,38.144,610.304,4119.552,32613.12,2236,762.88,16573,77.9,131400,1083,460,756,46.0,15075,2.51,33986.304,2021.6319999999998,34749.184,32231.68,35130.623999999996,7323.647999999999,3547.3920000000003,3165.952,24946.176,22848.256,22199,20.8,65779,32035,3852.544,796,13807,576118,93.1,411.45,0.0
20,Delaware County Ohio,220740,12582.18,55847.22,32228.04,110370.0,186966.78,9712.560000000001,441.48,18762.9,220.74,4856.280000000001,6622.2,181448.28,9675,17659.2,84176,79.1,336600,2205,833,1202,2359.0,76549,2.73,195134.16,20970.3,216104.46,210806.7,214559.28,126042.54,12140.7,11037.0,155400.96000000002,141935.82,20392,26.0,116284,52397,9050.339999999998,4893,89828,4740171,483.2,443.15,0.0
