,Owner-occupied housing unit rate,Median value of owner-occupied housing units,Median selected monthly owner costs -with a mortgage,Median selected monthly owner costs -without a mortgage,Median gross rent,"Building permits, 2021",Households,Persons per household,Living in same house 1 year ago of persons age 1 year+,Language other than English spoken at home of persons age 5 years+,Households with a computer,Households with a broadband Internet subscription,Fact,Banned or not
46,72.5,164600,1368,542,821,1127.0,123500,2.45,282141.93,21144.865,293187.755,260365.875,Lorain County Ohio,0.0
47,61.2,127900,1261,499,803,460.0,179358,2.35,367816.68700000003,27468.224000000002,394855.72,369962.64200000005,Lucas County Ohio,0.0
48,73.8,173400,1372,508,870,89.0,15181,2.55,37772.486,1864.2120000000002,40701.962,38793.364,Madison County Ohio,0.0
49,69.8,114600,1120,438,706,194.0,97293,2.29,200457.608,14059.244,203405.51400000002,191613.89,Mahoning County Ohio,0.0
50,67.3,114800,1074,426,782,49.0,24251,2.47,55693.223,3003.386,59545.392,55627.932,Marion County Ohio,0.0
51,79.8,219900,1540,569,958,463.0,71360,2.52,166613.72,7872.956,174852.86,164782.8,Medina County Ohio,1.0
52,77.5,100300,1010,382,639,6.0,8719,2.54,19932.296000000002,264.58799999999997,18366.817,15742.986,Meigs County Ohio,0.0
53,79.6,169500,1197,473,679,85.0,15923,2.61,37993.481999999996,888.489,38966.589,37697.318999999996,Mercer County Ohio,0.0
54,73.0,165600,1238,478,832,307.0,43279,2.47,96261.58399999999,4261.295999999999,101615.52,97026.43199999999,Miami County Ohio,0.0
55,78.6,115500,980,366,584,1.0,5565,2.4,12475.944,226.593,11129.715,9943.434,Monroe County Ohio,0.0
56,62.0,133400,1255,515,849,1047.0,226199,2.29,445818.88,33222.08,492972.8,467788.32,Montgomery County Ohio,0.0
57,77.1,103500,993,361,641,55.0,5629,2.45,12519.03,164.18399999999997,11424.47,10165.726,Morgan County Ohio,0.0
58,80.6,163300,1307,461,851,150.0,13048,2.65,32198.315999999995,2284.815,32233.467,29737.745999999996,Morrow County Ohio,0.0
59,70.3,132800,1140,411,719,21.0,33970,2.48,75952.632,2160.2,76298.264,72755.53600000001,Muskingum County Ohio,0.0
60,79.3,113500,1044,368,652,25.0,4608,2.58,12517.408000000001,567.04,11340.8,10376.832,Noble County Ohio,0.0
61,81.0,160500,1284,467,774,172.0,17930,2.21,36614.952,1122.912,36975.888000000006,33326.424,Ottawa County Ohio,0.0
62,80.2,107700,1030,422,704,29.0,7480,2.51,16965.029000000002,471.775,16700.835,14530.67,Paulding County Ohio,0.0
63,76.7,136300,1148,439,654,47.0,13071,2.69,32197.68,921.96,31594.86,29077.2,Perry County Ohio,0.0
64,72.6,185400,1437,525,851,262.0,20706,2.61,50433.05,949.328,54467.693999999996,50373.717000000004,Pickaway County Ohio,0.0
65,66.9,118400,1125,414,760,29.0,10478,2.56,24623.901,460.513,23784.141999999996,20316.75,Pike County Ohio,0.0
66,70.4,168500,1382,522,921,427.0,63372,2.43,140460.43,6820.044,150528.114,138511.846,Portage County Ohio,0.0
67,78.0,141600,1149,443,754,48.0,16648,2.44,37188.97,735.6060000000001,36862.034,34205.679,Preble County Ohio,0.0
68,85.5,158300,1227,445,754,47.0,13158,2.59,32053.012000000002,1407.0379999999998,31675.514,29273.254,Putnam County Ohio,0.0
69,67.2,123900,1100,426,694,115.0,49505,2.37,107417.31,5383.385,111298.355,103285.875,Richland County Ohio,0.0
70,70.8,134300,1227,440,784,15.0,29455,2.43,66510.715,1307.147,68971.227,64280.876,Ross County Ohio,0.0
71,72.9,124700,1101,445,719,52.0,23797,2.43,52843.5,2466.03,52960.93,48850.88,Sandusky County Ohio,0.0
72,68.3,107600,1130,414,669,4.0,28152,2.52,63957.712,1026.844,62930.867999999995,59043.53,Scioto County Ohio,0.0
73,71.4,154500,1227,482,787,75.0,18429,2.6,42603.575999999994,959.54,43994.90900000001,41787.967,Shelby County Ohio,0.0
74,68.0,146100,1178,449,784,952.0,154426,2.37,327852.418,11962.688,342805.77800000005,315889.73,Stark County Ohio,0.0
75,71.4,109300,1046,430,707,120.0,84989,2.33,184624.195,9664.08,175564.12,160463.995,Trumbull County Ohio,0.0
76,69.9,144700,1167,439,796,64.0,37661,2.44,79642.49999999999,7584.999999999999,81954.99999999999,74370.00000000001,Tuscarawas County Ohio,0.0
77,76.0,98500,1028,431,646,2.0,5052,2.53,11616.84,330.096,10004.447999999999,8811.024,Vinton County Ohio,0.0
78,78.6,250300,1723,642,1156,1406.0,86981,2.67,215487.32200000004,22929.429000000004,238416.75100000002,231020.16100000002,Warren County Ohio,0.0
79,74.1,146600,1128,414,725,5.0,24435,2.39,51995.125,1485.575,52113.971000000005,47478.977,Washington County Ohio,0.0
80,74.7,164300,1243,474,770,189.0,43964,2.56,101887.83,15055.59,101304.28,95818.91,Wayne County Ohio,0.0
81,76.9,111500,1044,412,718,31.0,15261,2.36,32750.672000000002,1138.1960000000001,32713.955999999995,30914.872000000003,Williams County Ohio,0.0
82,72.6,113000,1049,433,740,48.0,21862,2.38,47823.126,1921.71,49580.117999999995,46011.227999999996,Seneca County Ohio,1.0
83,64.2,177000,1437,553,845,547.0,53010,2.37,106375.016,6093.7119999999995,126113.344,118827.384,Wood County Ohio,0.0
84,81.2,242400,1696,626,1050,1253.0,21654,2.71,55095.407999999996,4612.941,62177.247,60228.117,Union County Ohio,1.0
85,72.5,133600,1139,420,682,70.0,9036,2.4,20123.316000000003,607.824,19884.528,18386.676,Wyandot County Ohio,0.0
